Skater Name,Nationality,Gender,Age at Competition,Competition Name,Year,City,Country,Discipline,Short Program Score,Free Skate Score,Total Score,Technical Elements Score,Program Components Score,Deductions,Rank,Starting Order,Previous Season Rank,Number of Quad Jumps,Rule Changes Implemented
Mikhail Kolyada,Russia,Male,24,2019 World Championships,2019,Saitama, Japan,Men's Singles,84.23,178.52,262.75,150.35,112.40,0,4,21,4,2,Yes
Ekaterina Ryabova,Azerbaijan,Female,16,2019 World Championships,2019,Saitama, Japan,Ladies' Singles,62.24,124.28,186.52,100.20,86.32,0,12,20,NA,0,Yes
Keiji Tanaka,Japan,Male,24,2019 World Championships,2019,Saitama, Japan,Men's Singles,84.68,170.90,255.58,144.80,110.78,0,7,20,9,1,Yes
Ivan Righini,Italy,Male,26,2018 European Championships,2018,Moscow, Russia,Men's Singles,74.26,150.43,224.69,131.50,93.19,0,8,19,12,1,Yes
Bradie Tennell,USA,Female,23,2021 Skate America,2021,Las Vegas, USA,Ladies' Singles,69.04,129.10,198.14,105.60,92.54,0,5,11,NA,0,Yes
Matteo Rizzo,Italy,Male,20,2019 European Championships,2019,Minsk, Belarus,Men's Singles,84.51,165.67,250.18,140.30,109.88,0,3,21,7,1,Yes
Kevin Reynolds,Canada,Male,23,2014 World Championships,2014,Saitama, Japan,Men's Singles,72.58,150.31,222.89,130.00,92.89,0,11,17,8,2,No
Nobunari Oda,Japan,Male,26,2014 World Championships,2014,Saitama, Japan,Men's Singles,85.45,160.70,246.15,140.00,106.15,0,7,18,5,1,No
Takahito Mura,Japan,Male,23,2014 World Championships,2014,Saitama, Japan,Men's Singles,80.88,156.44,237.32,135.80,101.52,0,9,16,7,1,No
Maxim Kovtun,Russia,Male,18,2014 World Championships,2014,Saitama, Japan,Men's Singles,81.36,155.10,236.46,136.40,100.06,-1,10,15,4,2,No
Florent Amodio,France,Male,23,2014 World Championships,2014,Saitama, Japan,Men's Singles,74.64,149.05,223.69,129.50,94.19,0,12,14,6,1,No
Michael Christian Martinez,Philippines,Male,17,2014 World Championships,2014,Saitama, Japan,Men's Singles,64.81,132.39,197.20,118.70,78.50,0,19,13,15,0,No
Tomas Verner,Czech Republic,Male,27,2014 World Championships,2014,Saitama, Japan,Men's Singles,78.38,148.16,226.54,131.20,95.34,0,13,12,9,1,No
Joshua Farris,USA,Male,19,2014 World Championships,2014,Saitama, Japan,Men's Singles,76.29,146.09,222.38,128.80,93.58,0,14,11,10,1,No
Nan Song,China,Male,23,2014 World Championships,2014,Saitama, Japan,Men's Singles,70.15,140.47,210.62,125.00,85.62,0,16,10,12,1,No
Han Yan,China,Male,17,2014 World Championships,2014,Saitama, Japan,Men's Singles,83.59,160.54,244.13,138.60,105.53,0,8,9,3,2,No
Jin Seo Kim,South Korea,Male,16,2014 World Championships,2014,Saitama, Japan,Men's Singles,62.84,129.70,192.54,115.50,77.04,0,20,8,18,0,No
Jeremy Abbott,USA,Male,28,2014 World Championships,2014,Saitama, Japan,Men's Singles,79.68,155.00,234.68,137.50,97.18,0,15,7,5,1,No
Javier Raya,Spain,Male,22,2014 World Championships,2014,Saitama, Japan,Men's Singles,65.43,134.82,200.25,120.00,80.25,0,18,6,14,0,No
Dmitri Aliev,Russia,Male,21,2020 European Championships,2020,Graz,Austria,Men's Singles,88.12,175.64,263.76,138.24,124.52,-0.5,3,10,6,1,No
Alexander Samarin,Russia,Male,23,2019 European Championships,2019,Minsk,Belarus,Men's Singles,86.31,175.45,261.76,137.20,123.51,-0.4,5,12,6,2,No
Evgenia Medvedeva,Russia,Female,19,2019 European Championships,2019,Minsk,Belarus,Ladies' Singles,77.23,145.11,222.34,115.29,106.54,-1.6,2,7,4,0,Yes
Alexandra Trusova,Russia,Female,16,2020 Grand Prix Final,2020,Moscow,Russia,Ladies' Singles,84.23,153.67,237.90,123.45,114.45,-2.0,3,6,5,1,Yes
Paul Bonifacio Parkinson,Italy,Male,22,2014 World Championships,2014,Saitama, Japan,Men's Singles,67.92,138.50,206.42,123.50,82.92,0,17,5,13,0,No
Michael Brezina,Czech Republic,Male,23,2014 World Championships,2014,Saitama, Japan,Men's Singles,83.20,160.90,244.10,138.50,105.60,0,6,4,4,2,No
Richard Dornbush,USA,Male,22,2014 World Championships,2014,Saitama, Japan,Men's Singles,75.18,150.27,225.45,131.10,94.35,0,13,3,8,1,No
Alexander Majorov,Sweden,Male,23,2014 World Championships,2014,Saitama, Japan,Men's Singles,71.07,144.55,215.62,127.00,88.62,0,15,2,11,1,No
Denis Ten,Kazakhstan,Male,20,2014 World Championships,2014,Saitama, Japan,Men's Singles,91.56,173.48,265.04,142.80,122.24,0,4,1,6,1,No
Kevin Aymoz,France,Male,17,2017 World Championships,2017,Helsinki, Finland,Men's Singles,80.23,160.44,240.67,135.30,105.37,0,12,20,14,2,Yes
Nathan Chen,USA,Male,21,2020 World Championships,2020,Montreal,Canada,Men's Singles,108.35,220.60,328.95,182.60,146.35,-1.4,1,1,1,6,Yes
Tennell Bradie,USA,Female,22,2020 Skate America,2020,Las Vegas,USA,Ladies' Singles,71.95,139.45,211.40,112.15,99.25,-0.9,6,9,6,0,Yes
Daniel Samohin,Israel,Male,19,2017 World Championships,2017,Helsinki, Finland,Men's Singles,78.40,158.30,236.70,133.00,103.70,0,14,19,12,2,Yes
Brendan Kerry,Australia,Male,22,2017 World Championships,2017,Helsinki, Finland,Men's Singles,75.50,152.60,228.10,129.00,99.10,0,16,18,15,1,Yes
Misha Ge,Uzbekistan,Male,25,2017 World Championships,2017,Helsinki, Finland,Men's Singles,82.45,165.33,247.78,137.80,109.98,0,9,17,7,1,Yes
Jorik Hendrickx,Belgium,Male,24,2017 World Championships,2017,Helsinki, Finland,Men's Singles,77.83,156.74,234.57,132.40,102.17,0,11,16,13,1,Yes
Denis Ten,Kazakhstan,Male,23,2017 World Championships,2017,Helsinki, Finland,Men's Singles,81.28,162.55,243.83,136.90,106.93,0,10,15,9,1,Yes
Vincent Zhou,USA,Male,17,2017 World Championships,2017,Helsinki, Finland,Men's Singles,88.12,170.95,259.07,145.20,113.87,0,7,14,NA,4,Yes
Junhwan Cha,South Korea,Male,15,2017 World Championships,2017,Helsinki, Finland,Men's Singles,75.30,150.20,225.50,130.50,95.00,0,17,13,NA,1,Yes
Moris Kvitelashvili,Georgia,Male,21,2017 World Championships,2017,Helsinki, Finland,Men's Singles,73.45,148.90,222.35,129.80,92.55,0,18,12,16,1,Yes
Yuzuru Hanyu,Japan,Male,22,2017 World Championships,2017,Helsinki, Finland,Men's Singles,98.39,223.20,321.59,170.00,151.59,0,1,11,1,4,Yes
Evgeni Semenenko,Russia,Male,18,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,85.99,168.00,253.99,140.50,113.49,0,8,23,NA,2,Yes
Matteo Rizzo,Italy,Male,22,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,82.30,165.50,247.80,137.00,110.80,0,10,22,7,2,Yes
Adam Rippon,USA,Male,28,2018 Skate America,2018,Everett,USA,Men's Singles,87.20,175.30,262.50,140.50,122.00,-1.1,5,6,4,2,No
Tara Lipinski,USA,Female,24,2016 World Championships,2016,Boston,USA,Ladies' Singles,70.15,140.25,210.40,110.40,100.00,-1.5,7,12,8,0,No
Kevin Aymoz,France,Male,23,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,89.76,172.50,262.26,143.50,118.76,0,6,21,5,3,Yes
Michael Brezina,Czech Republic,Male,30,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,84.15,167.80,251.95,139.80,112.15,0,9,20,8,2,Yes
Jason Brown,USA,Male,26,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,94.86,184.00,278.86,154.00,124.86,0,7,19,4,0,Yes
Pavel Kulizhnikov,Russia,Male,24,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,80.50,160.00,240.50,135.00,105.50,0,11,18,NA,2,Yes
Mikhail Kolyada,Russia,Male,26,2021 World Championships,2021,Stockholm, Sweden,Men's Singles,90.62,180.05,270.67,147.00,123.67,0,5,17,6,3,Yes
Daria Usacheva,Russia,Female,14,2021 World Championships,2021,Stockholm, Sweden,Ladies' Singles,70.12,140.00,210.12,115.00,95.12,0,5,24,NA,0,Yes
Elena Radionova,Russia,Female,15,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,69.51,135.00,204.51,110.00,94.51,0,4,15,NA,0,No
Anna Pogorilaya,Russia,Female,15,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,66.26,130.50,196.76,107.50,89.26,0,5,14,NA,0,No
Li Zijun,China,Female,17,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,65.67,129.00,194.67,106.00,88.67,0,6,13,7,0,No
Gracie Gold,USA,Female,18,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,68.63,126.80,195.43,103.20,92.23,0,7,12,5,0,No
Ashley Wagner,USA,Female,22,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,67.74,127.54,195.28,102.30,93.98,0,8,11,4,0,No
Satoko Miyahara,Japan,Female,16,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,64.48,125.20,189.68,100.00,89.68,0,9,10,NA,0,No
Elena Glebova,Estonia,Female,24,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,61.11,120.50,181.61,97.00,84.61,0,10,9,12,0,No
Maé-Bérénice Méité,France,Female,19,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,60.96,119.80,180.76,96.50,84.26,0,11,8,10,0,No
Viktoria Helgesson,Sweden,Female,25,2014 World Championships,2014,Saitama, Japan,Ladies' Singles,59.84,118.60,178.44,95.00,83.44,0,12,7,11,0,No
Misha Ge,Uzbekistan,Male,26,2018 World Championships,2018,Milan, Italy,Men's Singles,83.89,159.39,243.28,136.60,106.68,0,9,19,12,0,Yes
Matthias Versluis,Finland,Male,23,2018 World Championships,2018,Milan, Italy,Men's Singles,75.34,148.22,223.56,130.00,93.56,0,13,18,14,1,Yes
Maxim Kovtun,Russia,Male,22,2018 World Championships,2018,Milan, Italy,Men's Singles,82.25,156.70,238.95,134.50,104.45,0,10,17,9,2,Yes
Junhwan Cha,South Korea,Male,16,2018 World Championships,2018,Milan, Italy,Men's Singles,81.20,155.80,237.00,133.50,103.50,0,11,16,NA,1,Yes
Kazuki Tomono,Japan,Male,19,2018 World Championships,2018,Milan, Italy,Men's Singles,82.61,169.69,252.30,142.80,109.50,0,5,15,NA,2,Yes
Daniel Samohin,Israel,Male,20,2018 World Championships,2018,Milan, Italy,Men's Singles,78.40,158.30,236.70,133.00,103.70,0,14,14,12,2,Yes
Brendan Kerry,Australia,Male,23,2018 World Championships,2018,Milan, Italy,Men's Singles,75.50,152.60,228.10,129.00,99.10,0,16,13,15,1,Yes
Deniss Vasiljevs,Latvia,Male,18,2018 World Championships,2018,Milan, Italy,Men's Singles,80.24,160.45,240.69,135.30,105.39,0,12,12,10,1,Yes
Moris Kvitelashvili,Georgia,Male,23,2018 World Championships,2018,Milan, Italy,Men's Singles,73.45,148.90,222.35,129.80,92.55,0,17,11,16,1,Yes
Michael Christian Martinez,Philippines,Male,21,2018 World Championships,2018,Milan, Italy,Men's Singles,70.00,142.00,212.00,127.00,85.00,0,18,10,15,1,Yes
Kevin Reynolds,Canada,Male,27,2018 World Championships,2018,Milan, Italy,Men's Singles,76.50,153.00,229.50,130.50,99.00,0,15,9,8,2,Yes
Gabrielle Daleman,Canada,Female,20,2018 World Championships,2018,Milan, Italy,Ladies' Singles,70.65,134.50,205.15,111.00,94.15,0,5,23,5,0,Yes
Maria Sotskova,Russia,Female,17,2018 World Championships,2018,Milan, Italy,Ladies' Singles,69.80,133.40,203.20,110.00,93.20,0,6,22,6,0,Yes
Wakaba Higuchi,Japan,Female,17,2018 World Championships,2018,Milan, Italy,Ladies' Singles,73.98,145.01,218.99,116.00,102.99,0,2,21,7,0,Yes
Karen Chen,USA,Female,18,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,69.98,138.53,208.51,113.00,95.51,0,4,22,6,0,Yes
Mirai Nagasu,USA,Female,24,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,68.75,137.21,205.96,112.00,93.96,0,5,21,7,0,Yes
Mai Mihara,Japan,Female,17,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,67.95,136.85,204.80,111.00,93.80,0,6,20,NA,0,Yes
Mariah Bell,USA,Female,21,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,66.10,133.40,199.50,108.00,91.50,0,7,19,8,0,Yes
Dabin Choi,South Korea,Female,17,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,65.50,132.50,198.00,107.00,91.00,0,8,18,9,0,Yes
Rika Hongo,Japan,Female,21,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,64.80,131.60,196.40,106.00,90.40,0,9,17,10,0,Yes
Elena Radionova,Russia,Female,18,2017 World Championships,2017,Helsinki, Finland,Ladies' Singles,63.90,130.70,194.60,105.00,89.60,0,10,16,4,0,Yes
Yuzuru Hanyu,Japan,Male,19,2014 World Championships,2014,Saitama, Japan,Men's Singles,91.24,191.35,282.59,152.16,130.43,0,1,22,1,3,No
Brian Joubert,France,Male,23,2015 Four Continents Championships,2015,Montreal,Canada,Men's Singles,86.07,149.09,235.16,138.61,98.87,0.0,1,18,2.0,3,Yes
Junhwan Cha,South Korea,Male,16,2015 European Championships,2015,Helsinki,Finland,Men's Singles,80.19,159.48,239.67,133.57,105.9,0.89,10,16,,0,Yes
Johnny Weir,USA,Male,20,2015 European Championships,2015,Barcelona,Spain,Men's Singles,77.92,154.26,232.18,134.62,97.11,0.0,3,19,5.0,1,No
Sergei Voronov,Russia,Male,31,2015 European Championships,2015,Moscow,Russia,Men's Singles,91.53,157.8,249.33,137.23,114.42,0.0,8,19,9.0,1,No
Nathan Chen,USA,Male,21,2015 European Championships,2015,Barcelona,Spain,Men's Singles,108.07,224.14,332.21,187.57,142.22,0.0,1,24,1.0,6,Yes
Johnny Weir,USA,Male,20,2015 Four Continents Championships,2015,Boston,USA,Men's Singles,76.74,156.22,232.96,136.44,96.67,0.8,3,19,5.0,2,Yes
Satoko Miyahara,Japan,Female,20,2015 Grand Prix Final,2015,Montreal,Canada,Ladies' Singles,77.68,146.69,224.37,110.24,105.46,0.2,4,22,3.0,0,Yes
Julia Lipnitskaia,Russia,Female,15,2015 Grand Prix Final,2015,Moscow,Russia,Ladies' Singles,75.15,134.15,209.3,108.33,100.12,0.0,2,16,1.0,0,Yes
Bradie Tennell,USA,Female,20,2015 European Championships,2015,Shanghai,China,Ladies' Singles,65.75,132.68,198.43,104.93,92.91,0.87,5,21,,1,No
Maria Sotskova,Russia,Female,17,2015 World Championships,2015,Shanghai,China,Ladies' Singles,68.29,130.17,198.46,110.65,90.88,0.28,6,22,6.0,0,Yes
Jorik Hendrickx,Belgium,Male,24,2015 National Championships,2015,Moscow,Russia,Men's Singles,81.39,158.6,239.99,131.93,100.8,0.01,12,16,13.0,1,Yes
Miki Ando,Japan,Female,22,2015 Four Continents Championships,2015,Helsinki,Finland,Ladies' Singles,59.92,128.17,188.09,98.83,85.37,0.67,3,17,3.0,1,Yes
Starr Andrews,USA,Female,19,2015 National Championships,2015,Helsinki,Finland,Ladies' Singles,63.57,118.66,182.23,98.63,91.76,0.11,10,15,,0,No
Alena Leonova,Russia,Female,23,2015 World Championships,2015,Shanghai,China,Ladies' Singles,60.98,117.46,178.44,96.5,84.84,0.12,9,13,7.0,0,Yes
Sergei Voronov,Russia,Male,31,2015 Four Continents Championships,2015,Barcelona,Spain,Men's Singles,85.61,160.84,246.45,134.64,113.18,0.0,9,19,9.0,1,No
Viktoria Helgesson,Sweden,Female,25,2015 European Championships,2015,Barcelona,Spain,Ladies' Singles,62.69,115.37,178.06,94.36,85.81,0.0,13,7,11.0,1,Yes
Elena Radionova,Russia,Female,18,2015 National Championships,2015,Shanghai,China,Ladies' Singles,68.71,129.98,198.69,107.26,89.41,0.0,10,16,4.0,1,Yes
Brendan Kerry,Australia,Male,23,2015 Four Continents Championships,2015,Moscow,Russia,Men's Singles,77.63,147.93,225.56,127.28,99.12,0.0,17,13,15.0,0,No
Boyang Jin,China,Male,19,2015 World Championships,2015,Boston,USA,Men's Singles,92.93,175.68,268.61,146.66,121.87,0.04,3,21,5.0,5,No
Irina Slutskaya,Russia,Female,25,2015 Grand Prix Final,2015,Moscow,Russia,Ladies' Singles,68.33,137.61,205.94,108.12,91.53,0.0,1,21,1.0,0,No
Ashley Wagner,USA,Female,22,2015 National Championships,2015,Shanghai,China,Ladies' Singles,65.1,132.46,197.56,101.84,93.64,0.0,7,15,4.0,0,No
Rika Hongo,Japan,Female,21,2015 World Championships,2015,Boston,USA,Ladies' Singles,65.11,129.74,194.85,103.5,92.24,0.84,9,17,10.0,1,No
Denis Ten,Kazakhstan,Male,20,2015 World Championships,2015,Moscow,Russia,Men's Singles,91.5,169.81,261.31,144.59,124.48,0.0,4,1,6.0,2,Yes
Starr Andrews,USA,Female,19,2015 Grand Prix Final,2015,Helsinki,Finland,Ladies' Singles,62.96,118.57,181.53,98.53,91.03,0.0,10,15,,0,No
Nathan Chen,USA,Male,17,2015 Four Continents Championships,2015,Boston,USA,Men's Singles,101.56,197.65,299.21,163.24,130.99,0.0,7,23,4.0,4,No
Julia Lipnitskaia,Russia,Female,15,2015 Grand Prix Final,2015,Montreal,Canada,Ladies' Singles,69.72,137.23,206.95,111.41,95.35,0.0,2,16,1.0,1,No
Elizabet Tursynbaeva,Kazakhstan,Female,19,2015 National Championships,2015,Moscow,Russia,Ladies' Singles,78.04,148.28,226.32,116.32,106.16,0.0,2,23,6.0,0,Yes
Yuna Kim,South Korea,Female,23,2015 National Championships,2015,Montreal,Canada,Ladies' Singles,72.66,139.65,212.31,112.42,106.1,0.0,1,23,1.0,0,Yes
Elizaveta Tuktamysheva,Russia,Female,24,2015 Grand Prix Final,2015,Boston,USA,Ladies' Singles,76.52,144.94,221.46,110.32,108.0,0.86,2,23,5.0,2,Yes
